,,,,
,,,,
,問い合わせ内容,種類,回答,対応、留意点
,商品の発送、配送はいつになりますか？,通常の場合,"この度はご購入頂きましてありがとうございます。商品お待たせしており申し訳ございません。
倉庫に確認を取りましたところ、下記のスケジュールを予定しているとのことでございました。

最終発送日: 
お届け予定日: 

また弊社は「アマゾンジャパン・ロジスティックス」というアマゾン合同会社の商品管理と配送を代行する物流サービスを利用しております。
そのため、出荷元に「アマゾン合同会社」の表記がございますが、お買い求めいただいた商品は、弊社の商品に間違いございませんので、ご安心ください。
発送の連絡が取れ次第、改めてご連絡させていただきます。お届けまで今しばらくお待ちくださいませ。
",
,,繁忙期の場合,"この度はご注文いただきました商品のお届けが遅れておりますこと、心よりお詫び申し上げます。
現在、弊社が利用しておりますロジスティックスサービス（アマゾン合同会社の商品管理と配送を代行する物流サービス）の倉庫が繁忙期のため通常よりもお届けにお時間が掛かっており、
お客様にご迷惑、ご不便をおかけしておりますこと誠に申し訳ございません。
お届け予定日は下記の日程を見込んでおります。
出荷予定日: 
最新のお届け日:
問題解決に向けて全力で対応しております。
お忙しいところ恐縮ですが、到着まで今しばらくお待ちくださいませ。
ご希望の日にち間に合わないなどあれば取引キャンセルさせて頂きますのでおっしゃって頂ければと思います。
ご迷惑おかけし申し訳ありませんが宜しくお願いいたします。",
,,システムエラーで遅延の場合,"お世話になっております。
お客様のご注文に関しまして、弊社システムエラーにて未発送状態となっておりましたため手動にて急ぎ発送進めさせて頂きました。
お客様には、ご迷惑をお掛けし申し訳ございません。
ご注文商品を一日でも早くお届けできるよう努めておりますので、今しばらくお待ちいただければ幸いです。
お届け予定日が確定次第、改めてご連絡させていただきます。",
,,誤配送による到着日時遅延の案内,"この度は、弊社商品をご購入いただき、誠にありがとうございます。

現在、配送センターでの仕分け作業に不備があり、商品の配送業者が誤って異なる地域へ発送されてしまったことが判明いたしました。ただいま、正しい地域への転送手配を進めておりますが、お届けまでに数日お時間をいただく場合がございます。なお、転送後も伝票番号に変更はございませんので、配送状況については、引き続きご利用の配送業者にお問い合わせいただければ幸いです。

お客様にはご迷惑をおかけし、心よりお詫び申し上げます。
",
,発送完了報告,,"お世話になっております。ご注文いただきました商品を発送いたしました。
お急ぎのところ恐縮ですが、到着まで今しばらくお待ちください。
下記が追跡情報となります。 
（追跡情報を記載）
",
,適合確認・商品の仕様について聞かれた場合,車・バイク関連,"お問い合わせいただきありがとうございます。
誠に申し訳ございませんが、商品説明に記載されている内容以上の適合可否につきましてはお答えできかねます。商品説明を参考に、お客様ご自身でご判断いただければ幸いです。
ご期待にお応えすることができず心よりお詫び申し上げますが、引き続きご検討くださいますようお願い申し上げます。",
,,その他,"お問い合わせいただきありがとうございます。
申し訳ございませんが、説明に記載されている以上の情報はご提供できかねます。
商品説明内容をご参考にご判断いただければと思います。
ご期待に沿えず申し訳ございませんが、引き続きご検討の程をよろしくお願いいたします。",
,商品の質問に関してすぐに回答するのが難しい場合,ラクマート通常運行時,"お世話になっております。
お問い合わせ内容につきまして、商品管理担当者に確認させていただき、改めてご連絡させていただきます。
ご不便をお掛けしもうしわけございませんが、今しばらくお待ちくださいませ。
",チャットワークで質問する。
,,ラクマート休業時,"お世話になっております。 
お問い合わせいただき、ありがとうございます。
ご連絡の内容につきまして商品管理担当者に確認させていただき、改めてご連絡させていただきます。
現在商品管理担当部署が休業中でございます。
そのため、誠に恐縮ではございますが、回答は休み明けとなります。
お待たせしてしまい申し訳ございませんが、何卒ご理解いただけますと幸いです。",ラクマートが再開したらチャットワークで質問する。
, 車検に対応していますか？,,"お問い合わせいただきありがとうございます。
各地域によって保安基準や裁量が異なる場合もあり、車検適合可否に関しましては当店での責任は負いかねます。予めご了承ください。
車検を受けられる際は、通常装着されている純正品にお戻し頂くなど、適宜購入者様側にてご判断のうえご対応くださいますようお願い致します。
それでは、引き続きご検討のほど、宜しくお願い致します。",
,届け先の変更できますか？,パターン１,"お世話になっております。
弊店ではご注文情報を元に在庫倉庫に自動配送手配を行う仕様にてお届け準備を行います。
従いまして、ご注文後にお届け先変更はいたしかねます。
大変お手数ではございますが、発送時にお知らせするメールにて配送業者および追跡番号も明記されておるかと存じますので、そちらからお客様による転送手配をお願い申し上げます。
恐れ入りますが、何卒よろしくお願い申し上げます。",
,,パターン２,"お世話になっております。
大変申し訳ございません。
弊店ではご注文情報を元に在庫倉庫に自動配送手配を行う仕様にてお届け準備を行います。
そのため、ご注文後にお届け先変更はいたしかねます。
つきましては、お手数ではございますが下記の方法から変更のほどをご検討宜しくお願いいたします。

1.発送連絡後にお伝えする追跡番号より配送業者に直接転送ご指定を頂く方法。
2.注文をキャンセルしていただき、再度ご希望の住所を指定しなおし注文を行いなおしていただく方法。

ご希望に添えず申し訳ございませんが、以上からご対応いただけますと幸いでございます。
それではどうぞご確認のほどを宜しくお願いいたします。",
,配送日・時間の指定はできますか？,,"お世話になっております。
弊社は在庫倉庫に発送委託をさせていただいておりますが、委託先配送システムには配送・時間指定のオプションがございません。
誠にお手数をおかけいたしますが、発送時にお知らせする追跡番号をもとに、配送業者様に直接到着時間のご指定をお伝えいただけますと幸いです。
何かご不明な点がございましたら、どうぞお気軽にご連絡ください。
引き続き、よろしくお願いいたします。",
,商品に不備があったので対応をおねがいします。（FBA注文の場合）,"アマゾン カスタマーサービス 
返品・交換手続きへ誘導する場合","お世話になっております。
この度は弊社商品をご購入いただき、誠にありがとうございます。
また、商品に不備がございましたこと、心よりお詫び申し上げます。

返品・交換につきましては、アマゾンのシステム上、販売者側での直接対応ができない仕組みとなっており、すべてアマゾンカスタマーサービスを通じてのご対応となります。
お手数をおかけいたしますが、下記ページをご参照のうえ、アマゾンまでご連絡くださいますようお願い申し上げます。

▶ アマゾン カスタマーサービス - 返品・交換手続き
https://www.amazon.co.jp/gp/help/customer/display.html?nodeId=G6E3B2E8QPHQ88KF

ご不便をおかけし誠に恐縮ではございますが、何卒ご理解賜りますようお願い申し上げます。",アマゾンカスタマーサービスに誘導します。
,,"アマゾンカスタマーサービス
直接電話で対応に誘導する場合","お世話になっております。
先ほど、アマゾンのテクニカルサポートにお問い合わせをいたしました際に、以下の手順での対応をご案内いただきました。
アマゾンヘルプ＆カスタマーのページにて［その他］をご選択ください。
続いて［サイトの不具合］をお選びください。
［カスタマーサービスへ連絡］をクリックいただき、
【今すぐ電話をリクエストする】を選択していただきますと、直接お電話にて対応していただけます。
詳細につきましては、下記リンクをご覧ください： 

アマゾンヘルプ＆カスタマー サポート
https://www.amazon.co.jp/hz/contact-us/foresight/hubgateway
",
,商品に不備があったので、新しいものを送ってください。交換してください。,"同様の新品商品の再送対応
(ヤフオク・ヤフショ・楽天)","お世話になっております。
この度は商品に不備がございましたこと、誠に申し訳ございませんでした。
商品は新品でございますが、出荷時に提携業者様の検品を経て、海外から輸入しております。
また、精密機器のため、輸入時の振動などにより不具合・損傷が発生することがございます。
お客様にご迷惑をおかけしましたことを深くお詫び申し上げます。
速やかに同様の商品を無償でご提供させていただきますので、ご理解いただけますと幸いです。
なお、既にお届けした不備のあった商品のご返品は不要でございます。
また、お手数をお掛けしてしまい恐縮ですが、不備商品の「商品全体の画像」、「不備の箇所が確認できる画像」、「OPP袋に貼付されている商品ﾊﾞｰｺｰﾄﾞ画像（Xから始まる10桁数字）」をご送付頂けますよう宜しくお願いいたします。（不備商品を特定し今後の再発防止に活用させていただきますので、ご協力のほどよろしくお願い申し上げます）
こちらのメッセージ欄にて添付が可能です。お手数をおかけしますが、どうぞご確認のほど、よろしくお願い申し上げます。
",メッセージ欄で画像の添付が可能です。
,,"同様の新品商品の再送対応
(メルショ)","お世話になっております。
この度は商品に不備がございましたこと、誠に申し訳ございませんでした。
商品は新品でございますが、出荷時に提携業者様の検品を経て、海外から輸入しております。
また、精密機器のため、輸入時の振動などにより不具合・損傷が発生することがございます。
お客様にご迷惑をおかけしましたことを深くお詫び申し上げます。
速やかに同様の商品を無償でご提供させていただきますので、ご理解いただけますと幸いです。
なお、既にお届けした不備のあった商品のご返品は不要でございます。
また、お手数をお掛けしてしまい恐縮ですが、不備商品の「商品全体の画像」、「不備の箇所が確認できる画像」、「OPP袋に貼付されている商品バーコード画像（Xから始まる10桁数字）」をご送付頂けますよう宜しくお願いいたします。（不備商品を特定し今後の再発防止に活用させていただきますので、ご協力のほどよろしくお願い申し上げます）
下記のアドレスに添付していただけますと幸いでございます。
お手数をおかけしますが、どうぞご確認のほど、よろしくお願い申し上げます。
",メッセージ欄で画像の添付が不可能なので、メールアドレスを指定して、送付してもらう必要があります。
,商品に不備があったので対応をお願いします。,"最初の対応
同様の新品商品の再送を希望か、返金を希望か聞く。","お世話になっております。
この度は商品に不備がございまして、大変申し訳ございませんでした。
商品は出荷時に提携業者様の検品を行った後、海外から輸入を行っております。
ですが、精密機械の為に輸入時の振動などにより不具合が発生してしまう事がございます。
お客様にはご迷惑をお掛けしてしまい大変申し訳ございませんでした。

補填をさせていただきたいと考えておるのですが、下記の２つからお選びいただけますでしょうか。
1.ご返金によるご対応。
2.同様の新品商品の再送

以上の２つからご希望の補填方法をご連絡いただけますでしょうか。
※既にお届け済みの不備のあった商品のご返品は不要でございます。
2.の再送をご選択の場合は恐れ入りますが、再送先のご住所を教えていただけますでしょうか。

また、弊店は基本的に電話によるご対応は行っておりませんので、こちらのメッセージ欄にてご対応させていただきます。予めご了承くださいませ。
恐れ入りますが、ご確認のほどを宜しくお願いいたします。",
,,"１．同様の新品商品の再送を希望した場合
(ヤフオク・ヤフショ・楽天)","ご連絡いただきありがとうございます。
新品商品の再送手続きを進めさせていただきました。
この度は商品の不備によりご迷惑をおかけし、大変申し訳ございませんでした。

お忙しいところ恐縮ですが、商品到着まで今しばらくお待ちくださいませ。
また、再送分につきましても同様の仕様の異なる商品をお届けしてしまった場合には、大変申し訳ございませんが、ご返金対応とさせていただきたく存じます。

お手隙の際で構いませんので、不備が分かる画像をこちらのメッセージ欄に添付していただけますと幸いでございます。
発送が完了しましたら、改めてご連絡いたしますので、到着まで今しばらくお待ちいただけますと幸いです。",メッセージ欄で画像の添付が可能です。
,,"１．同様の新品商品の再送を希望した場合
(メルショ)","ご連絡いただきありがとうございます。
ご提供いただいた情報を基に、新品商品の再送手続きを進めさせていただきました。
この度は商品の不備によりご迷惑をおかけし、大変申し訳ございませんでした。

お忙しいところ恐縮ですが、商品到着まで今しばらくお待ちくださいませ。
また、再送分につきましても同様の仕様の異なる商品をお届けしてしまった場合には、大変申し訳ございませんが、ご返金対応とさせていただきたく存じます。

お手隙の際で構いませんので、不備が分かる画像を下記のアドレスに添付していただけますと幸いでございます。
（メールアドレスを記載）
発送が完了しましたら、改めてご連絡いたしますので、到着まで今しばらくお待ちいただけますと幸いです。

",メッセージ欄で画像の添付が不可能なので、メールアドレスを指定して、送付してもらいます。
,,２．返金を希望した場合,"お世話になっております。
この度はご迷惑をおかけしてしまい申し訳ありませんでした。
ただいま返金申請が完了いたしました。
詳しい返金の受け取りなどの方法につきましては、お手数をおかけしますがカスタマサービスへお問い合わせいただきますようお願いいたします。
また、お届け済みの商品の返送は不要でございます。
それではまた機会がございましたら何卒よろしくお願い申し上げます。",
,再送依頼完了報告,ヤフオク・ヤフショ・楽天,"お世話になっております。
只今、新品商品の再送手続きを進めさせていただきました。
この度は商品の不備によりご迷惑をおかけし、大変申し訳ございませんでした。

お忙しいところ恐縮ですが、商品到着まで今しばらくお待ちくださいませ。
また、再送分につきましても同様の仕様の異なる商品をお届けしてしまった場合には、大変申し訳ございませんが、ご返金対応とさせていただきたく存じます。

お手隙の際で構いませんので、不備が分かる画像をこちらのメッセージ欄に添付していただけますと幸いでございます。
発送が完了しましたら、改めてご連絡いたしますので、到着まで今しばらくお待ちいただけますと幸いです。",メッセージ欄で画像の添付が可能です。
,,メルショ,"お世話になっております。
只今、新品商品の再送手続きを進めさせていただきました。
この度は商品の不備によりご迷惑をおかけし、大変申し訳ございませんでした。

お忙しいところ恐縮ですが、商品到着まで今しばらくお待ちくださいませ。
また、再送分につきましても同様の仕様の異なる商品をお届けしてしまった場合には、大変申し訳ございませんが、ご返金対応とさせていただきたく存じます。

お手隙の際で構いませんので、不備が分かる画像を下記のアドレスに添付していただけますと幸いでございます。
（メールアドレスを記載）
発送が完了しましたら、改めてご連絡いたしますので、到着まで今しばらくお待ちいただけますと幸いです。",メッセージ欄で画像の添付が不可能なので、メールアドレスを指定して、送付してもらいます。
,再送処理完了報告,通常再送処理完了報告,"お世話になっております。在庫倉庫より発送の確認が取れましたのでご連絡いたします。
お忙しいところ恐縮ですが、到着まで今しばらくお待ちくださいませ。
改めまして、この度は先にお届けした商品に不備がございましたこと、誠に申し訳ございませんでした。
下記が追跡情報となります。 
（追跡情報を記載）
",
,,商品到着遅延の際の再送処理完了報告,"お待たせいたしました。
在庫倉庫より発送の確認が取れました。
お忙しいところ恐縮ですが、到着まで今しばらくお待ちくださいませ。
改めましてこの度は、ご注文いただきました商品のお届けが遅れまして大変申し訳ございませんでした。
お客様の寛容なご配慮に感謝いたします。
下記追跡情報となります。
（追跡情報を記載）
",
,返金処理完了報告,,"お世話になっております。
この度はご迷惑をおかけしてしまい申し訳ありませんでした。
ただいま返金申請が完了いたしました。
詳しい返金の受け取りなどの方法につきましては、お手数をおかけしますがカスタマサービスへお問い合わせいただきますようお願いいたします。
それではまた機会がございましたら何卒よろしくお願い申し上げます。
",
,Amazon以外の販路で配送する場合,,"この度はご購入いただきまして誠にありがとうございます。
現在、在庫倉庫に発送の依頼をかけております。
弊社は「アマゾンジャパン・ロジスティックス」というアマゾン合同会社の商品管理と配送を代行する物流サービスを利用しております。
そのため、出荷元に「アマゾン合同会社」の表記がございますが、お買い求めいただいた商品は、弊社の商品に間違いございませんので、ご安心ください。
発送の連絡が取れ次第、改めてご連絡させていただきます。お届けまで今しばらくお待ちくださいませ。
※在庫倉庫の繁忙期（８月および12月等）には、通常よりもお届けにお日にちがかかる場合がございますので、予めご了承くださいませ。
",
,欠品のお詫び（店舗都合）,"この度は、商品をご購入いただきましてありがとうございます。
領収書(適格請求書)作成いたします。
PDFデータの添付が可能なメールアドレスをご指定いただけますでしょうか。
それでは、ご確認の程をよろしくお願いいたします。
","お世話になっております。
この度はせっかくご注文いただきましたが、他媒体で本日完売してしまい、商品をご提供できなくなってしまいました。誠に申し訳ございませんが、今回のお取引をキャンセルさせていただきたく存じます。
大変ご迷惑をおかけし、深くお詫び申し上げます。ご確認のほど、何卒よろしくお願い申し上げます。",
,キャンセル依頼（お客様都合）,すでに発送済み場合・受け取り拒否のお願い,"ご連絡ありがとうございます。
只今倉庫に確認をとりましたところ、既に商品発送済みとの状況でございました。
お手数ですが、商品がお客様のお手元に届きましたら、受け取り拒否で返送をお願いいたします。
商品が返送完了次第、ご返金のご対応をさせていただきたく存じます。",
,,"受け取り拒否にて返送が叶わなかった場合の案内","お世話になっております。

先日、ご注文キャンセルにてご返送をお願いしておりました商品につきまして、商品がお手元に到着されているかと存じますが、受け取り拒否が叶わずお困りの際は、着払いにて下記住所へご返送いただけますでしょうか。

ご返送先住所
着払いにて佐川急便かヤマト運輸をご利用いただけますと幸いでございます。
〒253-0002
神奈川県茅ケ崎市高田1-7-3-2
パピリオ湘南103
(株)MORABLU木村宛

ご返品の完了が確認でき次第、ご返金によるご対応をさせていただく準備をしております。
お手数をおかけいたしますが、返品手続きが完了した際には、ご一報いただけますと幸いです。

また、キャンセルが不要の場合につきましても、ご連絡いただけますと幸いでございます。
お手数をおかけしますが、ご確認のほど、よろしくお願いいたします。
",
,価格が違う同商品を販売しているようですが、何が違うのですか？,価格が高い方のパターンでの回答例,"この度は、弊社商品をご購入いただきありがとうございます。
お問い合わせいただきました内容につきまして、ご返答させていただきます。
はい、別商品も同じ使用用途の商品ではございますが、仕入れている製造元が異なります。
低価格にて販売させていただいている商品は、大量生産のため作りが荒い部分があり、品質は少し劣ります。
それに比べこちらは品質が高く、耐久性は勝ります。
以上、ご検討いただいた上で、キャンセルをご希望の場合は、ご対応いたしますのでお申し付けください。
それではご検討のほど、よろしくお願いいたします。",
,領収書をいただけますか？,FBA注文の場合,"お問い合わせいただき、ありがとうございます。
領収書の作成につきまして、すべてアマゾンにて個人情報の保護が行われております。
お手数ですが、アマゾンのカスタマーサービスへ直接お問い合わせいただきますようお願いいたします。",アマゾンカスタマーサービスに誘導します。
,,マルチチャネル注文の場合,"この度は、商品をご購入いただきましてありがとうございます。
領収書(適格請求書)作成いたします。
PDFデータの添付が可能なメールアドレスと宛名をご指定いただけますでしょうか。
それでは、ご確認の程をよろしくお願いいたします。",領収書を作成し送付します。
,返品・交換お願いします。,,"お世話になっております。
この度は商品に不備がございましたこと、誠に申し訳ございませんでした。

商品は新品でございますが、出荷時に提携業者様の検品を経て、海外から輸入しております。
また、精密機器のため、輸入時の振動などにより不具合・損傷が発生することがございます。

お客様にご迷惑をおかけしましたことを深くお詫び申し上げます。
速やかに同様の商品を無償でご提供させていただきますので、ご理解いただけますと幸いです。

なお、既にお届けした不備のあった商品のご返品は不要でございます。

お世話になっております。
この度は商品の不備によりご迷惑をおかけし、大変申し訳ございませんでした。

お忙しいところ恐縮ですが、商品到着まで今しばらくお待ちくださいませ。
また、再送分につきましても同様の仕様の異なる商品をお届けしてしまった場合には、大変申し訳ございませんが、ご返金対応とさせていただきたく存じます。

発送が完了しましたら、改めてご連絡いたしますので、到着まで今しばらくお待ちいただけますと幸いです。",
,郵便局留め、営業所留めにして頂けますか？,マルチチャネル配送の場合は両方不可,"弊社は「アマゾンジャパン・ロジスティックス」というアマゾン合同会社の物流サービスを利用しており、当方でも局留めや営業所留めの対応可能かお調べしましたが、配送業者が複数あるため指定が出来ないとの事でございました。
ご希望に添えず申し訳ありませんが、発送手配したのちに配送業者の伝票番号と配送業者様共有いたしますので直接受取に関してのやり取り対応お願いできますでしょうか。
送り先に関してですが落札者情報と同じ住所でお送りして問題なければそちら宛てに配送手配させて頂きます。
ご不便おかけして申し訳ございませんが、ご確認の程よろしくお願いいたします。",
,クロスマ連携楽天RMSの送料変更におけるカスタマー向けメッセージ,,"この度は、ご注文いただき誠にありがとうございます。
離島への送料が確定いたしましたので、以下の内容でご確認いただけますでしょうか。 
送料：○○○円
問題がなければ、速やかに発送手配を進めさせていただきます。ご確認のほど、よろしくお願いいたします。","クロスマ連携の楽天RMSにて沖縄や離島で送料が未確定の場合は自動処理が【停止中】とならず【実行中】のまま配送されないケースがありますのでご注意ください。
その場合の楽天RMSでの送料の変更が必要となります。
対応詳細動画ドロップボックスに格納してあります。
ちなみにﾏﾙﾁﾁｬﾈﾙ配送料は場所ではなく1商品あたりできまるので国内であれば一律金額となります。

【共有ﾌｫﾙﾀﾞ】中国輸入\ファミリールーム\対応マニュアル\簡易OEM動画\5.その他￥クロスマ連携楽天RMSの送料変更方法"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,離島発送の送料確認のお知らせ,,"お世話になっております。
このたびはご購入いただきありがとうございます。

離島地域への配送料につきまして、以下の通り確定いたしましたのでご案内申し上げます。

離島送料：円（税込）

ご了承いただけましたら、速やかに発送の手配を進めさせていただきます。

ご確認のほど、よろしくお願いいたします。",
,,,"ご連絡が遅くなってしまい、誠に申し訳ございません。
このたびはご所望の商品を正確にお届けすることができず、重ねて深くお詫び申し上げます。
本来お届けすべき仕様の商品とは異なるものをお届けしてしまい、お客様にはご迷惑とご不便をおかけしましたこと、心よりお詫び申し上げます。
再送対応をさせていただきたいところですが、現在の在庫状況および商品管理の都合により、再送分におきましても同様に仕様の異なる商品をお送りしてしまう可能性がございます。
そのため、誠に勝手ながら今回は返金対応にてご対応させていただければと存じます。
お客様には多大なるご迷惑とご不快な思いをおかけしましたことを、重ねて深くお詫び申し上げます。
何卒ご理解賜りますよう、よろしくお願い申し上げます。",
,商品再送時（代替品再送）の際に検品をお願いされた場合」,,"お世話になっております。
この度は、商品に不備があり、ご迷惑をおかけしてしまい誠に申し訳ございませんでした。
現在、在庫倉庫に再送依頼をかけておりますので、商品到着まで今しばらくお待ちくださいませ。

弊社は、アマゾンジャパン・ロジスティックスというアマゾン合同会社の商品管理および配送を代行する物流サービスを利用して在庫倉庫への発送を行っております。
また、検品や梱包に関しても委託サービスを利用しており、梱包が完了した商品をアマゾン合同会社の在庫倉庫で管理しております。
そのため、今回の発送前に商品の確認ができない状況でございます。

まずは在庫倉庫にある商品を再送させていただきますが、万が一再送商品に同様の不備があった場合には、ご返金対応をさせていただきます。
大変申し訳ございませんが、ご理解とご協力のほどよろしくお願い申し上げます。
",